Time,CAN,Dir,Bit,ID(hex),DLC,D0,D1,D2,D3,D4,D5,D6,D7,,,,,,,,,,,,,,,,,,,
03:48.3,0,RX,29,19F20138,8,2,4F,0,FF,FF,FF,FF,7F,,,,,,,,,,,,,,,,,,,
03:48.3,0,RX,29,19F20138,7,3,0,0,0,0,7F,7F,,,,,,,,,,,,,,,,,,,,
03:48.4,0,RX,29,DF010A3,8,FF,FF,4A,42,1C,0D,23,13,,,,,,,,,,,,,,,,,,,
03:48.4,0,RX,29,19F21438,8,0,50,5,FF,7F,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:48.4,0,RX,29,19F20038,8,0,FE,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:48.4,0,RX,29,9FD0205,8,EF,73,4,EF,ED,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:48.4,0,RX,29,9F11200,8,FF,8B,A9,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:48.5,0,RX,29,9F503A3,8,FF,FF,FF,5F,0,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:48.5,0,RX,29,19F20038,8,0,F7,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:48.5,0,RX,29,9FD0205,8,F0,73,4,A4,EF,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:48.5,0,RX,29,9F11200,8,FF,6A,A9,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:48.6,0,RX,29,DF90BA3,8,FF,FC,92,22,39,0,FF,FF,,,,,,,,,,,,,,,,,,,
03:48.6,0,RX,29,19F20038,8,0,EF,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:48.6,0,RX,29,9FD0205,8,F1,A8,4,AA,F0,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:48.6,0,RX,29,9F11200,8,FF,58,A9,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:48.7,0,RX,29,19F20038,8,0,F1,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:48.7,0,RX,29,9FD0205,8,F2,73,4,47,EE,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:48.7,0,RX,29,9F11200,8,FF,42,A9,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:48.8,0,RX,29,DFE11A3,8,E0,0E,C0,BC,31,B7,5F,0,,,,,,,,,,,,,,,,,,,
03:48.8,0,RX,29,DFE11A3,8,E1,FF,FF,FF,FF,D9,1A,2E,,,,,,,,,,,,,,,,,,,
03:48.8,0,RX,29,DFE11A3,2,E2,0,,,,,,,,,,,,,,,,,,,,,,,,,
03:48.8,0,RX,29,9F801A3,8,DB,8D,6C,20,67,60,34,0B,,,,,,,,,,,,,,,,,,,
03:48.8,0,RX,29,19F20038,8,0,F2,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:48.8,0,RX,29,9FD0205,8,F3,A8,4,98,ED,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:48.8,0,RX,29,9F11200,8,FF,39,A9,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:48.8,0,RX,29,19F20138,8,10,1A,0,FF,FF,FF,FF,DB,,,,,,,,,,,,,,,,,,,
03:48.8,0,RX,29,19F20138,8,11,8D,FF,7F,FF,7F,88,0A,,,,,,,,,,,,,,,,,,,
03:48.8,0,RX,29,19F20138,8,12,4F,0,FF,FF,FF,FF,7F,,,,,,,,,,,,,,,,,,,
03:48.8,0,RX,29,19F20138,7,13,0,0,0,0,7F,7F,,,,,,,,,,,,,,,,,,,,
03:48.9,0,RX,29,19F20038,8,0,F9,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:48.9,0,RX,29,9FD0205,8,F4,A8,4,47,EE,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:48.9,0,RX,29,9F11200,8,FF,30,A9,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:49.0,0,RX,29,9F802A3,8,FF,FC,B7,B6,65,0,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.0,0,RX,29,19F20038,8,0,FA,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.0,0,RX,29,9FD0205,8,F5,DC,4,A4,EF,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.1,0,RX,29,9F11200,8,FF,22,A9,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:49.1,0,RX,29,19F20038,8,0,F5,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.1,0,RX,29,9FD0205,8,F6,DC,4,52,F0,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.2,0,RX,29,9F11200,8,FF,17,A9,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:49.2,0,RX,29,19F20038,8,0,ED,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.2,0,RX,29,9FD0205,8,F7,10,5,BB,F3,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.2,0,RX,29,DF50B23,8,A9,2B,5,0,0,0,0,FF,,,,,,,,,,,,,,,,,,,
03:49.2,0,RX,29,9F50323,8,AC,98,0,FF,FF,0,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.2,0,RX,29,19F51323,8,40,0E,FF,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.2,0,RX,29,19F51323,8,41,FF,EA,B8,1,FF,EA,B8,,,,,,,,,,,,,,,,,,,
03:49.2,0,RX,29,19F51323,2,42,1,,,,,,,,,,,,,,,,,,,,,,,,,
03:49.3,0,RX,29,DF809A3,8,4A,42,68,34,23,13,78,0,,,,,,,,,,,,,,,,,,,
03:49.3,0,RX,29,19F20038,8,0,F0,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.3,0,RX,29,9FD0205,8,F8,DC,4,63,2,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.3,0,RX,29,9F11200,8,FF,F6,A8,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:49.4,0,RX,29,19F20138,8,20,1A,0,FF,FF,FF,FF,DB,,,,,,,,,,,,,,,,,,,
03:49.4,0,RX,29,19F20138,8,21,8D,FF,7F,FF,7F,88,0A,,,,,,,,,,,,,,,,,,,
03:49.4,0,RX,29,19F20138,8,22,4F,0,FF,FF,FF,FF,7F,,,,,,,,,,,,,,,,,,,
03:49.4,0,RX,29,19F20138,7,23,0,0,0,0,7F,7F,,,,,,,,,,,,,,,,,,,,
03:49.4,0,RX,29,DF010A3,8,FF,FF,4A,42,68,34,23,13,,,,,,,,,,,,,,,,,,,
03:49.4,0,RX,29,19F20038,8,0,F4,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.4,0,RX,29,9F11200,8,FF,D7,A8,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:49.4,0,RX,29,9FD0205,8,F9,10,5,12,3,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.5,0,RX,29,9F503A3,8,FF,FF,FF,65,0,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.5,0,RX,29,19F20038,8,0,FC,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.5,0,RX,29,9FD0205,8,FA,10,5,5E,1,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.5,0,RX,29,9F11200,8,FF,81,A8,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:49.6,0,RX,29,DF90BA3,8,FF,FC,D9,1A,2E,0,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.6,0,RX,29,19F20038,8,0,2,1D,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.6,0,RX,29,9FD0205,8,FB,DC,4,BB,F3,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.6,0,RX,29,9F11200,8,FF,0F,A8,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:49.7,0,RX,29,19F20038,8,0,F8,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.7,0,RX,29,9FD0205,8,FC,DC,4,BB,F3,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.7,0,RX,29,9F11200,8,FF,D7,A7,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:49.8,0,RX,29,19F20038,8,0,F3,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.8,0,RX,29,DFE11A3,8,0,0E,C0,BD,B7,B6,65,0,,,,,,,,,,,,,,,,,,,
03:49.8,0,RX,29,DFE11A3,8,1,FF,FF,FF,FF,D9,1A,2E,,,,,,,,,,,,,,,,,,,
03:49.8,0,RX,29,DFE11A3,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
03:49.8,0,RX,29,9F801A3,8,CC,8D,6C,20,B2,5F,34,0B,,,,,,,,,,,,,,,,,,,
03:49.8,0,RX,29,9FD0205,8,0,DC,4,BB,F3,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.8,0,RX,29,9F11200,8,FF,4F,A7,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:49.8,0,RX,29,19F20138,8,30,1A,0,FF,FF,FF,FF,DB,,,,,,,,,,,,,,,,,,,
03:49.8,0,RX,29,19F20138,8,31,8D,FF,7F,FF,7F,88,0A,,,,,,,,,,,,,,,,,,,
03:49.8,0,RX,29,19F20138,8,32,4F,0,FF,FF,FF,FF,7F,,,,,,,,,,,,,,,,,,,
03:49.8,0,RX,29,19F20138,7,33,0,0,0,0,7F,7F,,,,,,,,,,,,,,,,,,,,
03:49.8,0,RX,29,19F21438,8,0,50,5,FF,7F,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.8,0,RX,29,19FD082E,8,41,0,1,83,73,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.9,0,RX,29,19F20038,8,0,F2,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.9,0,RX,29,9FD0205,8,1,DC,4,7,F2,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:49.9,0,RX,29,9F11200,8,FF,1A,A7,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:50.0,0,RX,29,9F802A3,8,FF,FC,D4,B5,6C,0,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.0,0,RX,29,19F20038,8,0,F7,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.0,0,RX,29,9FD0205,8,2,A8,4,1,F1,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.0,0,RX,29,9F11200,8,FF,AB,A6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:50.0,0,RX,29,19FD0A2D,8,DC,0,0,88,6D,0F,0,FF,,,,,,,,,,,,,,,,,,,
03:50.1,0,RX,29,19F20038,8,0,FC,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.1,0,RX,29,9FD0205,8,3,A8,4,1,F1,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.1,0,RX,29,9F11200,8,FF,4E,A6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:50.2,0,RX,29,19F20038,8,0,FA,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.2,0,RX,29,9FD0205,8,4,73,4,AF,F1,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.2,0,RX,29,DF50B23,8,AA,1C,5,0,0,0,0,FF,,,,,,,,,,,,,,,,,,,
03:50.2,0,RX,29,9F50323,8,AD,91,0,FF,FF,0,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.2,0,RX,29,19F51323,8,60,0E,FF,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.2,0,RX,29,19F51323,8,61,1,EB,B8,1,1,EB,B8,,,,,,,,,,,,,,,,,,,
03:50.2,0,RX,29,19F51323,2,62,1,,,,,,,,,,,,,,,,,,,,,,,,,
03:50.3,0,RX,29,19F20038,8,0,F3,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.3,0,RX,29,9F11200,8,FF,2B,A6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:50.3,0,RX,29,DF809A3,8,4A,42,D2,5B,23,13,78,0,,,,,,,,,,,,,,,,,,,
03:50.3,0,RX,29,9FD0205,8,5,73,4,58,F1,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.3,0,RX,29,19F20138,8,40,1A,0,FF,FF,FF,FF,DB,,,,,,,,,,,,,,,,,,,
03:50.3,0,RX,29,19F20138,8,41,8D,FF,7F,FF,7F,88,0A,,,,,,,,,,,,,,,,,,,
03:50.3,0,RX,29,19F20138,8,42,4F,0,FF,FF,FF,FF,7F,,,,,,,,,,,,,,,,,,,
03:50.3,0,RX,29,19F20138,7,43,0,0,0,0,7F,7F,,,,,,,,,,,,,,,,,,,,
03:50.4,0,RX,29,19F20038,8,0,F1,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.4,0,RX,29,DF010A3,8,FF,FF,4A,42,D2,5B,23,13,,,,,,,,,,,,,,,,,,,
03:50.4,0,RX,29,9F11200,8,FF,FC,A5,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:50.4,0,RX,29,9FD0205,8,6,73,4,AA,F0,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.5,0,RX,29,19F20038,8,0,ED,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.5,0,RX,29,9F503A3,8,FF,FF,FF,6C,0,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.5,0,RX,29,9FD0205,8,7,73,4,7,F2,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.5,0,RX,29,9F11200,8,FF,EA,A5,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:50.6,0,RX,29,19F20038,8,0,EF,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.6,0,RX,29,DF90BA3,8,FF,FC,61,1A,39,0,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.6,0,RX,29,9FD0205,8,8,A8,4,6A,F4,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.6,0,RX,29,9F11200,8,FF,E7,A5,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:50.7,0,RX,29,19F20038,8,0,EE,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.7,0,RX,29,9FD0205,8,9,DC,4,BB,F3,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.7,0,RX,29,9F11200,8,FF,EC,A5,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:50.8,0,RX,29,19F20038,8,0,F0,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.8,0,RX,29,DFE11A3,8,20,0E,C0,BE,D4,B5,6C,0,,,,,,,,,,,,,,,,,,,
03:50.8,0,RX,29,DFE11A3,8,21,FF,FF,FF,FF,61,1A,39,,,,,,,,,,,,,,,,,,,
03:50.8,0,RX,29,DFE11A3,2,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
03:50.8,0,RX,29,9F801A3,8,BB,8D,6C,20,F1,5E,34,0B,,,,,,,,,,,,,,,,,,,
03:50.8,0,RX,29,9FD0205,8,0A,A8,4,64,F3,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.8,0,RX,29,9F11200,8,FF,F6,A5,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:50.8,0,RX,29,19F20138,8,50,1A,0,FF,FF,FF,FF,DB,,,,,,,,,,,,,,,,,,,
03:50.8,0,RX,29,19F20138,8,51,8D,FF,7F,FF,7F,88,0A,,,,,,,,,,,,,,,,,,,
03:50.8,0,RX,29,19F20138,8,52,4F,0,FF,FF,FF,FF,7F,,,,,,,,,,,,,,,,,,,
03:50.8,0,RX,29,19F20138,7,53,0,0,0,0,7F,7F,,,,,,,,,,,,,,,,,,,,
03:50.9,0,RX,29,19F20038,8,0,F5,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.9,0,RX,29,9FD0205,8,0B,DC,4,6A,F4,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:50.9,0,RX,29,9F11200,8,FF,0,A6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:51.0,0,RX,29,19F20038,8,0,F9,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.0,0,RX,29,9F802A3,8,FF,FC,65,B4,70,0,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.0,0,RX,29,9FD0205,8,0C,10,5,5E,1,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.0,0,RX,29,9F11200,8,FF,3,A6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:51.1,0,RX,29,19F20038,8,0,F1,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.1,0,RX,29,9FD0205,8,0D,45,5,12,F4,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.1,0,RX,29,9F11200,8,FF,4,A6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:51.2,0,RX,29,19F20038,8,0,EB,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.2,0,RX,29,9FD0205,8,0E,45,5,0C,F3,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.2,0,RX,29,DF50B23,8,AB,28,5,0,0,0,0,FF,,,,,,,,,,,,,,,,,,,
03:51.2,0,RX,29,9F50323,8,AE,9B,0,FF,FF,0,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.2,0,RX,29,19F51323,8,80,0E,FF,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.2,0,RX,29,19F51323,8,81,2,EB,B8,1,2,EB,B8,,,,,,,,,,,,,,,,,,,
03:51.2,0,RX,29,19F51323,2,82,1,,,,,,,,,,,,,,,,,,,,,,,,,
03:51.2,0,RX,29,9F11200,8,FF,FC,A5,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:51.3,0,RX,29,19F20038,8,0,E5,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.3,0,RX,29,DF809A3,8,4A,42,C4,82,23,13,78,0,,,,,,,,,,,,,,,,,,,
03:51.3,0,RX,29,9FD0205,8,0F,79,5,B5,1,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.3,0,RX,29,19F20138,8,60,1A,0,FF,FF,FF,FF,DB,,,,,,,,,,,,,,,,,,,
03:51.3,0,RX,29,19F20138,8,61,8D,FF,7F,FF,7F,88,0A,,,,,,,,,,,,,,,,,,,
03:51.3,0,RX,29,19F20138,8,62,4F,0,FF,FF,FF,FF,7F,,,,,,,,,,,,,,,,,,,
03:51.3,0,RX,29,19F20138,7,63,0,0,0,0,7F,7F,,,,,,,,,,,,,,,,,,,,
03:51.3,0,RX,29,19F21438,8,0,50,5,FF,7F,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.4,0,RX,29,19F20038,8,0,E1,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.4,0,RX,29,9F11200,8,FF,F4,A5,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:51.4,0,RX,29,DF010A3,8,FF,FF,4A,42,C4,82,23,13,,,,,,,,,,,,,,,,,,,
03:51.4,0,RX,29,9FD0205,8,10,79,5,BB,2,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.5,0,RX,29,19F20038,8,0,E2,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.5,0,RX,29,9F503A3,8,FF,FF,FF,70,0,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.5,0,RX,29,9F11200,8,FF,E6,A5,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:51.5,0,RX,29,9FD0205,8,11,79,5,12,F4,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.6,0,RX,29,19F20038,8,0,E0,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.6,0,RX,29,DF90BA3,8,FF,FC,22,12,33,0,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.6,0,RX,29,9F11200,8,FF,DD,A5,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:51.6,0,RX,29,9FD0205,8,12,79,5,0C,F3,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.7,0,RX,29,19F20038,8,0,E4,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.7,0,RX,29,9FD0205,8,13,45,5,BB,F3,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.7,0,RX,29,9F11200,8,FF,DE,A5,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:51.8,0,RX,29,19F20038,8,0,EA,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.8,0,RX,29,DFE11A3,8,40,0E,C0,BF,9A,B1,74,0,,,,,,,,,,,,,,,,,,,
03:51.8,0,RX,29,DFE11A3,8,41,FF,FF,FF,FF,22,12,33,,,,,,,,,,,,,,,,,,,
03:51.8,0,RX,29,DFE11A3,2,42,0,,,,,,,,,,,,,,,,,,,,,,,,,
03:51.8,0,RX,29,9F801A3,8,75,8D,6C,20,6E,5D,34,0B,,,,,,,,,,,,,,,,,,,
03:51.8,0,RX,29,9FD0205,8,14,79,5,12,F4,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.8,0,RX,29,9F11200,8,FF,E1,A5,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:51.8,0,RX,29,19F20138,8,70,1A,0,FF,FF,FF,FF,DB,,,,,,,,,,,,,,,,,,,
03:51.8,0,RX,29,19F20138,8,71,8D,FF,7F,FF,7F,88,0A,,,,,,,,,,,,,,,,,,,
03:51.8,0,RX,29,19F20138,8,72,4F,0,FF,FF,FF,FF,7F,,,,,,,,,,,,,,,,,,,
03:51.8,0,RX,29,19F20138,7,73,0,0,0,0,7F,7F,,,,,,,,,,,,,,,,,,,,
03:51.9,0,RX,29,19F20038,8,0,F0,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.9,0,RX,29,9FD0205,8,15,45,5,5E,F2,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:51.9,0,RX,29,9F11200,8,FF,F3,A5,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:52.0,0,RX,29,19F20038,8,0,EE,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.0,0,RX,29,9F802A3,8,FF,FC,9A,B1,74,0,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.0,0,RX,29,9FD0205,8,16,45,5,58,F1,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.0,0,RX,29,9F11200,8,FF,FF,A5,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:52.0,0,RX,29,19F20038,8,0,EC,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.1,0,RX,29,9FD0205,8,17,10,5,58,F1,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.1,0,RX,29,19FD082E,8,42,0,1,83,73,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.1,0,RX,29,9F11200,8,FF,2A,A6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:52.1,0,RX,29,19F20038,8,0,E7,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.2,0,RX,29,9FD0205,8,18,45,5,A4,EF,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.2,0,RX,29,DF50B23,8,AC,1C,5,0,0,0,0,FF,,,,,,,,,,,,,,,,,,,
03:52.2,0,RX,29,9F50323,8,AF,9F,0,FF,FF,0,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.2,0,RX,29,19F51323,8,A0,0E,FF,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.2,0,RX,29,19F51323,8,A1,5,EB,B8,1,5,EB,B8,,,,,,,,,,,,,,,,,,,
03:52.2,0,RX,29,19F51323,2,A2,1,,,,,,,,,,,,,,,,,,,,,,,,,
03:52.2,0,RX,29,9F11200,8,FF,3E,A6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:52.2,0,RX,29,19F20038,8,0,E4,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.3,0,RX,29,19FD0A2D,8,DD,0,0,E2,6D,0F,0,FF,,,,,,,,,,,,,,,,,,,
03:52.3,0,RX,29,DF809A3,8,4A,42,6,AA,23,13,78,0,,,,,,,,,,,,,,,,,,,
03:52.3,0,RX,29,9FD0205,8,19,10,5,EF,ED,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.3,0,RX,29,19F20138,8,80,1A,0,FF,FF,FF,FF,DB,,,,,,,,,,,,,,,,,,,
03:52.3,0,RX,29,19F20138,8,81,8D,FF,7F,FF,7F,88,0A,,,,,,,,,,,,,,,,,,,
03:52.3,0,RX,29,19F20138,8,82,4F,0,FF,FF,FF,FF,7F,,,,,,,,,,,,,,,,,,,
03:52.3,0,RX,29,19F20138,7,83,0,0,0,0,7F,7F,,,,,,,,,,,,,,,,,,,,
03:52.3,0,RX,29,19F20038,8,0,E4,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.3,0,RX,29,9F11200,8,FF,75,A6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:52.4,0,RX,29,DF010A3,8,FF,FF,4A,42,6,AA,23,13,,,,,,,,,,,,,,,,,,,
03:52.4,0,RX,29,9FD0205,8,1A,10,5,9E,EE,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.4,0,RX,29,19F20038,8,0,EE,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.5,0,RX,29,9F11200,8,FF,AE,A6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:52.5,0,RX,29,9F503A3,8,FF,FF,FF,74,0,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.5,0,RX,29,9FD0205,8,1B,10,5,9E,EE,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.5,0,RX,29,19F20038,8,0,E7,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.6,0,RX,29,9F11200,8,FF,CA,A6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:52.6,0,RX,29,DF90BA3,8,FF,FC,EC,19,2F,0,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.6,0,RX,29,9FD0205,8,1C,10,5,92,EC,FA,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.6,0,RX,29,19F20038,8,0,EB,1C,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
03:52.7,0,RX,29,9F11200,8,FF,3,A7,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
03:52.7,0,RX,29,9FD0205,8,1D,10,5,41,ED,FA,FF,FF,,,,,,,,,,,,,,,,,,,
